video_name,clip_score,length,gen_time_minutes,inception_score,fvd_score
250506_094350_857_978_55.mp4,0.1888,32,5,1.0206,5909.4235
model5.mp4,0.3057,32,5,1.9046,2506.7969
250507_083814_421_1743_37.mp4,0.2739,32,7,1.3892,10441.4298
model_dress.mp4,0.2908,32,6,1.16,8457.734
250506_091113_448_9050_55.mp4,0.3059,32,5,1.0731,10746.9634
250507_093022_397_512_37.mp4,0.25,32,6,1.0948,7288.3223
250507_090741_717_9298_37.mp4,0.271,32,6,1.1752,6802.5899
250507_014719_818_7718_37.mp4,0.2952,32,7,1.2702,7343.4703
